場所名稱,場所區域,場所地址,場所類型,AED放置地點,開放時間緊急連絡電話
太平山國家森林遊樂區鳩之澤溫泉,大同鄉,太平村燒水巷25號,森林遊樂區,鳩之澤溫泉館內,03-9809767
太平山國家森林遊樂區翠峰山屋,大同鄉,翠峰34號,森林遊樂區,翠峰山屋櫃檯,0963-357199
牛鬥派出所,大同鄉,復興村泰雅1路牛鬥巷52號,其他場所,值班室左側,03-9891731
四季天主堂,大同鄉,四季村四季天主堂,其他場所,聖堂後方,03-9809309
宜蘭縣大同鄉大同國民小學樂水分校,大同鄉,樂水村碼崙路21號,國小,健康中心內,03-9801172
宜蘭縣大同鄉公所,大同鄉,崙埤村朝陽38號,其他場所,本所正門大門口旁,03-9801004#132
宜蘭縣大同鄉四季國民小學,大同鄉,四季村和勳巷1號,國小,德馬龍大樓會客室,03-9809312
宜蘭縣大同鄉旅遊服務中心,大同鄉,崙埤村林家巷2-15號,其他場所,旅遊服務中心室內辦公室大門入口右側,03-9802038
宜蘭縣大同鄉寒溪國民小學,大同鄉,寒溪村寒溪巷16號,國小,辦公室,03-9517441#207
宜蘭縣大同鄉衛生所,大同鄉,崙埤村朝陽40號,其他場所,診療室(二)與注射室中間,03-9801175#235
宜蘭縣立大同國民中學,大同鄉,泰雅路四段35號,國中,健康中心走廊,03-9809611#25
明池森林遊樂區,大同鄉,英士村明池山莊1號,森林遊樂區,明池山莊大廳,03-9894104
松羅聖麗莎天主堂,大同鄉,松羅村東巷8號,其他場所,飲水機對面,03-9802016
英士派出所,大同鄉,英士村梵梵72號,其他場所,所長桌左後方,03-9801325
英士聖嘉民天主堂,大同鄉,梵梵巷聯絡道路,其他場所,大門口左側,0975252494
茂安天主堂,大同鄉,茂安村志航巷1-2號,其他場所,大門口右側,03-9808439
南山天主堂,大同鄉,埤南巷39-7號,其他場所,活動區,03-9809292
神木園,大同鄉,尖山段10-1地號,森林遊樂區,遊客服務中心,03-9809606
清水地熱公園,大同鄉,三星路8段501巷150號,直轄市、縣(市)政府主管之風景區,清水地熱服務台,03-9894500
崙埤聖德蘭天主堂,大同鄉,崙埤村24號,其他場所,廁所前方,03-9801283
寒溪耶穌聖心天主堂,大同鄉,寒溪巷6號,其他場所,玄關處,03-9517468
寒溪派出所,大同鄉,寒溪村寒溪巷65之2號,其他場所,值班室左側,03-9517465
棲蘭森林遊樂區,大同鄉,太平村泰雅路4段6號,森林遊樂區,山莊大廳,03-9809606
中美矽晶製品股份有限公司宜蘭分公司,五結鄉,利工一路2段26號,其他場所,三廠一樓大廳,03-9905511#5211
中美矽晶製品股份有限公司宜蘭分公司,五結鄉,利工一路2段1號,其他場所,一廠一樓大廳,03-9905511#5211
中興文化創意產業園區,五結鄉,中正路二段6-8號,文化園區,16號倉有料倉庫,03-9655440#206
中興文化創意產業園區,五結鄉,中正路二段6-8號,文化園區,服務中心,03-9655440#206
中興文化創意產業園區,五結鄉,中正路二段6-8號,文化園區,興工二館,03-9655440#206
中興文化創意產業園區,五結鄉,中正路二段6-8號,文化園區,興工一館12倉,03-9655440#206
中興文化創意產業園區,五結鄉,中正路二段6-8號,文化園區,藝料月台後方廁所,03-9655440#206
五結鄉衛生所,五結鄉,五結路二段337號,其他場所,1樓服務台,03-9501564
冬山河親水公園,五結鄉,親河路二段2號,直轄市、縣(市)政府主管之風景區,遊客服務中心,03-9502097
台灣半導體股份有限公司利澤廠,五結鄉,利工一路二段31號,其他場所,W03辦公室,03-9901998#1115
交通部臺灣鐵路管理局宜蘭運務段二結站,五結鄉,二結村五結中路三段658巷8號,台鐵車站,二結車站候車室,03-9650304
行政院農業委員會畜產試驗所宜蘭分所,五結鄉,季新村季水路28-1號,其他場所,大門入口旁,03-9503107
宜蘭傳藝文化園區,五結鄉,五濱路二段201號,文化園區,遊客資訊站,03-9508859 #3510
宜蘭縣五結鄉興中國中,五結鄉,中正東路50號,國中,健康中心,03-9653453#19
宜蘭縣立五結國民中學,五結鄉,大吉村大吉五路58號,國中,健康中心,03-9501105
宜蘭縣立利澤國民中學,五結鄉,利寶路99號,國中,健康中心入門處,0922-551886
宜蘭縣利澤垃圾資源回收(焚化)廠,五結鄉,利工二路100號,其他場所,焚化廠2樓參觀走道(中央控制室外面),0918-103689
宜蘭縣政府環境保護局,五結鄉,利工二路100號,其他場所,1F大廳,03-9907755#506
國立宜蘭特殊教育學校,五結鄉,國民中路22-20號,高中職,學校健康中心,03-9509788#119
溪和食品有限公司,五結鄉,利興二路11號,其他場所,溪和食品有限公司2樓,03-9907998
溪和食品有限公司,五結鄉,利興二路11號,其他場所,檢驗室入口對面,03-9907995
綠舞莊園日式主題遊樂區,五結鄉,五濱路二段459號,旅館,飯店大廳,03-9603808
綠舞莊園日式主題遊樂區,五結鄉,五濱路二段459號,旅館,遊客服務中心,03-9603808
綠舞莊園日式主題遊樂區,五結鄉,五濱路二段459號,旅館,飯店一樓遊憩休閒中心,03-9603808
綠舞莊園日式主題遊樂區,五結鄉,五濱路二段459號,旅館,美術館,03-9603808
綠舞莊園日式主題遊樂區,五結鄉,五濱路二段459號,旅館,售票亭,03-9603808
綠舞莊園日式主題遊樂區,五結鄉,五濱路二段459號,旅館,展演廳,03-9603808
蘭揚汽車股份有限公司大車服務廠,五結鄉,中興路一段80號,其他場所,顧客休息區電視旁,03-9606789
蘭揚汽車股份有限公司羅東廠,五結鄉,中正路三段138號,其他場所,服務廠服務專員桌後方,03-9658888#325
三富休閒農場,冬山鄉,中山村新寮二路161巷88號,農場,接待中心前廣場,03-9588690
仁山植物園,冬山鄉,新寮路500號,直轄市、縣(市)政府主管之風景區,遊客服務中心,03-9585991
冬山河森林公園生態綠舟,冬山鄉,太和村冬山路二段172號,直轄市、縣(市)政府主管之風景區,展示間,09-9591314
台灣化學纖維股份有限公司（龍德廠）,冬山鄉,大興村龍祥十路二號,其他場所,大門入口右側警衛室內,03-9901621#211
台灣塑膠工業股份有限公司冬山廠,冬山鄉,東福路201號,其他場所,警衛打卡室,03-9591134 #209
交通部臺灣鐵路管理局宜蘭運務段冬山站,冬山鄉,中正路1號,台鐵車站,售票窗口服務臺,03-9594221
宜蘭縣冬山國中,冬山鄉,南興村照安路26號,國中,健康中心,0963-314425
宜蘭縣冬山鄉大進國小,冬山鄉,大進七路51號,國小,健康中心,03-9512268#24
宜蘭縣冬山鄉武淵國民小學,冬山鄉,武淵村富農路二段350號,國小,武淵國小一樓中庭,03-9505971
宜蘭縣冬山鄉柯林國民小學,冬山鄉,柯林村光華路158號,國小,保健室,03-9511355#109
宜蘭縣冬山鄉衛生所,冬山鄉,冬山村中正路16號,其他場所,衛生所1F左側預防注射室室外,03-9594772
宜蘭縣立順安國民中學,冬山鄉,永興路一段359號,國中,健康中心,03-9581150#18
宜蘭縣慈心華德福教育實驗高級中等學校,冬山鄉,照安路257號,高中職,健康中心,03-9596222
香格里拉休閒農場,冬山鄉,大進村梅山路168號,旅館,農場櫃檯接待區,03-9511456
財團法人宜蘭縣私立佛教慈善事業基金會附設幸夫愛兒園,冬山鄉,柯林路463巷50號,其他場所,幸夫愛兒園大門後右方,03-9515532
財團法人宜蘭縣私立神愛兒童之家,冬山鄉,大埤二路189巷35號,其他場所,大廳走廊,03-9514652
財團法人蘭智社會福利基金會附設私立蘭陽智能發展學苑,冬山鄉,柯林村安農二路208號,其他場所,前棟三樓隔離室前,03-9530901
國立羅東高工,冬山鄉,廣興路117號,高中職,警衛室,03-9514196
國立羅東高工,冬山鄉,廣興路117號,高中職,健康中心,03-9514196#310
梅花湖休閒農場,冬山鄉,環湖路62號,旅館,服務中心,03-9612888
梅花湖風景區,冬山鄉,大埤路1號,直轄市、縣(市)政府主管之風景區,遊客服務中心,03-9514257
道教總廟三清宮,冬山鄉,得安村三清路123號,其他場所,管理委員會辦公室,03-9515135#15
羅東鎮立殯葬管理所,冬山鄉,進偉六路100號,殯儀館,殯儀館區,03-9898845
中道學校財團法人宜蘭縣中道高級中學,壯圍鄉,中央路3段312巷7號,高中職,中道高中學務處,03-9306696#119
壯圍沙丘旅遊服務園區,壯圍鄉,壯濱路2段196巷18號,國家級風景區,壯圍沙丘旅遊服務園區櫃台旁,03-9382420
壯圍鄉立幼兒園,壯圍鄉,古亭村永美路1段180號,其他場所,辦公室,03-9304246#12
宜蘭縣公館國小,壯圍鄉,紅葉路69號,國小,榕林樓辦公室門口走廊,03-9381682
宜蘭縣立壯圍國民中學,壯圍鄉,富祥路588號,國中,健康中心門口,03-9381773#35
宜蘭縣壯圍鄉大福國民小學,壯圍鄉,大福路一段62巷26號,國小,大福國小穿堂,03-9301239#20
宜蘭縣壯圍鄉過嶺國民小學,壯圍鄉,過嶺村壯濱路三段261號,國小,行政辦公室對面牆上,03-9301404#301
宜蘭縣壯圍鄉衛生所,壯圍鄉,中央路2段290號,其他場所,一樓門診區,03-9385503
財團法人宜蘭縣社區照顧促進會附設宜蘭縣私立心安居社區式服務類長期照顧服務機構,壯圍鄉,中央路二段265號,其他場所,長輩室內置物櫃旁牆面上,03-9381265
頤養家長照社團法人附設宜蘭縣私立嗣大人住宿長照機構,壯圍鄉,美功路一段2巷67號,其他場所,一樓大廳左側,03-9306911
Carrefour 家樂福-宜蘭店,宜蘭市,民權路二段38巷2號B2,商場,B2F家樂福服務中心前方,03-9361188
元智汽車股份有限公司 宜蘭服務廠,宜蘭市,宜興路三段28號,其他場所,辦公室,03-9289989#5
友愛大飯店,宜蘭市,舊城東路50號11樓,飯店,11樓櫃台前面,03-9363456
台灣半導體股份有限公司宜蘭廠,宜蘭市,梅洲二路96號,其他場所,辦公大樓二樓保建室,03-9285017#209
台灣基督長老教會蘭陽教會,宜蘭市,民族路37號,其他場所,1樓交誼廳樓梯間,03-9323882
台灣菸酒股份有限公司宜蘭酒廠,宜蘭市,舊城西路3號,民營遊樂業,警衛室,03-9355526
台灣電力股份有限公司宜蘭區營業處,宜蘭市,舊城西路111號,其他場所,守衛室,03-9354800
台灣電力股份有限公司宜蘭區營業處配電中心,宜蘭市,東港路2段472號,其他場所,守衛室,03-9354800
交通部臺灣鐵路管理局宜蘭運務段宜蘭站,宜蘭市,和睦里光復路1號,台鐵車站,前站候車室,03-9323801
社團法人宜蘭縣失智症照顧服務協會附設宜蘭縣私立松柏社區長照機構,宜蘭市,和睦路20號,其他場所,一樓會客處,03-9330581
宜鼎國際股份有限公司宜蘭分公司,宜蘭市,宜科路128號,其他場所,1F 大廳櫃台旁,03-9103300#6215
宜蘭市黎明國小,宜蘭市,校舍路一號,國小,健康中心,03-9383792
宜蘭美術館,宜蘭市,中山路3段1號,美術館,九芎通賣場後方,03-9369116
宜蘭國民運動中心,宜蘭市,公園路66號,運動中心,一樓泳池櫃台旁,03-9254566
宜蘭國民運動中心,宜蘭市,公園路66號,運動中心,二樓桌球室外,03-9254566
宜蘭設治紀念館,宜蘭市,舊城南路力行三巷3號,文化園區,"
展區入口處 ",03-9326664
宜蘭縣立中華國中,宜蘭市,女中路一段100號,國中,健康中心後門入口處,03-9382704#999
宜蘭縣立宜蘭國民中學,宜蘭市,樹人路37號,國中,健康中心,03-9322519#306
宜蘭縣立凱旋國中,宜蘭市,縣政七街50巷1號,國中,健康中心,03-9255600
宜蘭縣立復興國民中學,宜蘭市,復興路二段77號,國中,健康中心,03-9325150
宜蘭縣立體育場-宜蘭運動公園網球場辦公室,宜蘭市,中山路1段755號,健身房,網球場辦公室,03-9254034
宜蘭縣立體育場-宜蘭運動公園體育館,宜蘭市,中山路1段755號,體育館(如小巨蛋),宜蘭縣立體育館左側入口旁,03-9254034
宜蘭縣私立祥泰老人長期照顧中心(養護型),宜蘭市,中山路三段87號,其他場所,大廳電梯旁,03-9366666
宜蘭縣宜蘭市光復國民小學,宜蘭市,泰山路60號,國小,健康中心,03-9357256
宜蘭縣宜蘭市衛生所,宜蘭市,健康路二段2-2號,其他場所,門診入口斜對角,03-9322362
宜蘭縣宜蘭地政事務所,宜蘭市,泰山路66號,其他場所,地政大樓1樓大廳,03-9324140#400
宜蘭縣長期照護服務管理所,宜蘭市,聖後街141號,其他場所,大門入口處走到底右手邊,03-9359990
宜蘭縣政府,宜蘭市,縣政北路1號,其他場所,宜蘭縣政府一樓大廳樓梯旁,03-9251000#1970
宜蘭縣政府文化局,宜蘭市,復興路二段101號,文化園區,文化局大廳,03-9322440
宜蘭縣政府文化局宜蘭演藝廳,宜蘭市,中山路二段482號,演藝廳,一樓大廳樓梯下方,03-9369125
宜蘭縣政府社會處社會福利館,宜蘭市,同慶街95號,其他場所,一樓行政中心,03-9328822
宜蘭縣政府衛生局,宜蘭市,女中路2段287號,其他場所,衛生局大門右側.電梯前方,03-9322634
宜蘭縣議會,宜蘭市,中山路一段399號,議會,縣民大廳二樓,03-9251001~9
宜蘭轉運站,宜蘭市,校舍路190-1號,轉運站,宜蘭轉運站內,03-9384171
法務部調查局宜蘭縣調查站,宜蘭市,津梅路52號,其他場所,正門進去一樓大廳右轉小會議室,03-9282111
香港商世界健身事業有限公司宜蘭分公司,宜蘭市,舊城東路50號5樓及6樓,健身房,健身中心5樓,03-9369333
財團法人宜蘭縣私立宏仁老人長期照顧中心附設德仁日間照顧中心,宜蘭市,新興路212號3樓,其他場所,德仁日間照顧中心內靠門的柱子上,03-9363707
陳信甫牙醫診所,宜蘭市,縣政一街7號1樓,其他場所,診間,03-9256378
國立宜蘭大學,宜蘭市,神農路一段1號,大專院校,體育館健康中心外走廊,03-9317170
國立宜蘭大學,宜蘭市,神農路1段1號,大專院校,礪金學舍一樓川堂,03-9317157
國立宜蘭大學,宜蘭市,神農路1段1號,大專院校,圖書資訊館2樓大廳,03-9317122
國立宜蘭大學,宜蘭市,神農路1段1號,大專院校,時化學舍一樓川堂,03-9317155
國立宜蘭高中,宜蘭市,復興路3段8號,高中職,學務處,03-9324154
國立宜蘭高商,宜蘭市,延平路50號,高中職,警衛室,03-9384147#9
國立宜蘭高商,宜蘭市,延平路50號,高中職,教學大樓,03-9380457
國立蘭陽女子高級中學,宜蘭市,女中路2段355號,高中職,行政大樓1樓學務處教官室門口,03-9333819#234
新月廣場Luna Plaza,宜蘭市,民權路二段38巷6號,百貨業,1F服務台,03-9328800
臺灣宜蘭地方法院,宜蘭市,縣政西路1號,法院,大門口進入左側聯合服務中心,03-9252001
臺灣宜蘭地方檢察署,宜蘭市,縣政西路3 號,法院,宜蘭地方檢察署大廳,03-9251835
蘭城晶英酒店SILKS PLACE-YILAN,宜蘭市,民權路二段36號6F,飯店,蘭城晶英酒店 6F,03-9351000
蘭揚汽車股份有限公司宜蘭廠,宜蘭市,中山路五段276號,其他場所,服務廠,03-9286699
交通部臺灣鐵路管理局宜蘭運務段東澳站,南澳鄉,東岳村東岳路1號,台鐵車站,東澳站剪收票口,03-9986053
交通部臺灣鐵路管理局漢本車站,南澳鄉,澳花村蘇花路一段56號,台鐵車站,車站候車大廳,03-9985238
那山那谷休閒農場,南澳鄉,金洋路2號,農場,那山那谷休閒農場報到處,0978-088555
宜蘭縣立南澳高級中學,南澳鄉,蘇花路二段301號,高中職,1樓健康中心,03-9981024#211
宜蘭縣南澳鄉東澳國民小學,南澳鄉,蘇花路三段209號,國小,辦公室前方,03-9986217
宜蘭縣南澳鄉武塔國民小學,南澳鄉,武塔村新溪路1號,國小,行政辦公室走廊牆壁,03-9981632
宜蘭縣南澳鄉金岳國民小學,南澳鄉,金岳村金岳路2號,國小,教職員辦公室,03-9981636
宜蘭縣南澳鄉金洋國民小學,南澳鄉,金洋村金洋路11號,國小,健康中心,0912-548993
宜蘭縣南澳鄉南澳國民小學,南澳鄉,南澳村中正路15號,國小,英文教室,03-9981228
宜蘭縣南澳鄉碧候國民小學,南澳鄉,碧候村自覺巷38號,國小,碧候國小辦公室,03-9981634#203
宜蘭縣南澳鄉澳花國民小學,南澳鄉,澳花村中央路19號,國小,2樓入口中間樓梯側飲水機旁,03-9985108
宜蘭縣南澳鄉衛生所,南澳鄉,蘇花路二段375號,其他場所,1樓入口左邊藥房旁,03-9981019
武塔派出所,南澳鄉,新溪路5號,其他場所,值班室內,03-9981902
陽大附醫東岳復健站,南澳鄉,蘇花路3段141號,其他場所,東岳復健站櫃檯旁,03-9325192#2123
台灣自來水公司第八區管理處深溝給水廠,員山鄉,員山路2段236號,其他場所,生產股辦公大樓1樓,03-99233017
私立慧燈中學,員山鄉,枕山村枕山路117-60號,高中職,春風樓慧燈中學保健室,03-9229968
宜蘭縣立內城中小學,員山鄉,內城村內城路545號,國中,健康中心內,03-9221846#246
宜蘭縣立員山國民中學,員山鄉,温泉路92號,國中,健康中心,03-9223208#37
宜蘭縣立殯葬管理所,員山鄉,蜊埤路27號,殯儀館,服務中心,03-9220433
宜蘭縣立殯葬管理所,員山鄉,蜊埤路27號,殯儀館,803禮廳,03-9220433
宜蘭縣員山鄉公所,員山鄉,員山路一段322號,其他場所,1樓大廳,03-9231991
宜蘭縣員山鄉立幼兒園,員山鄉,深溝村深洲一路四十二號,其他場所,大門進入後中庭右側在音控室旁邊角落,0933-281956
宜蘭縣員山鄉員山國民小學,員山鄉,復興路39號,國小,健康中心,03-9224061#202
宜蘭縣員山鄉衛生所,員山鄉,復興路2號,其他場所,一樓候診處,03-9221575#21
宜蘭職業訓練場,員山鄉,員山路三段500巷1號,其他場所,宜蘭職業訓練場-敬業樓,03-9231295
金車噶瑪蘭威士忌酒廠,員山鄉,員山路二段326號,民營遊樂業,酒堡1F,03-9229000
林業試驗所福山研究中心,員山鄉,湖西村雙埤路福山1號,森林遊樂區,福山植物園解說站內,03-9228907
林業試驗所福山研究中心,員山鄉,湖西村雙埤路福山1號,其他場所,福山植物園自然中心內,03-9228900#123
員山生態教育館,員山鄉,員山路一段163號,文化園區,殘障廁所前,03-9224307
勝洋休閒農場,員山鄉,尚德村八甲路15-6號　　　　　　　　　　　　,農場,售票口旁,03-9222487
九號咖啡外澳館(外澳服務中心),頭城鎮,濱海路二段6號,直轄市、縣(市)政府主管之風景區,九號咖啡外澳館餐廳內,03-9789799
台北基督教女青年會頭城聽濤營,頭城鎮,協天路288號,其他場所,聽濤營辦公室,03-97711746
交通部臺灣鐵路管理局宜蘭運務段頭城站,頭城鎮,纉祥路59號,台鐵車站,候車室,03-9771429
宜蘭縣立人文國民中小學,頭城鎮,文雅路150號,國中,人文國中小入口圖書館服務台旁,03-9773396
宜蘭縣立頭城國民中學,頭城鎮,拔雅里復興路145號,國中,健康中心,03-9771002#115
宜蘭縣立蘭陽博物館,頭城鎮,青雲路三段750號,博物館,本館一樓大廳服務台旁,03-9779700#500
宜蘭縣頭城鎮竹安國民小學,頭城鎮,頭濱路1段601號,國小,1樓教師辦公室,03-9771178#16
宜蘭縣頭城鎮衛生所,頭城鎮,吉祥路15號,其他場所,頭城鎮衛生所注射室外,03-9771034
東北角暨宜蘭海岸國家風景區管理處大里遊客中心,頭城鎮,濱海路七段11號,國家級風景區,面對服務台右側,03-9780727
東北角暨宜蘭海岸國家風景區管理處龜山島遊客中心,頭城鎮,濱海路7段11號,國家級風景區,龜山島遊客中心內,03-9780727
金車生物頭城造林園區休閒農場,頭城鎮,外澳里石空路95號,農場,一樓正門口內,03-9699226
財團法人天主教白永恩神父社會福利基金會附設宜蘭縣私立聖方濟老人長期照顧中心(養護型),頭城鎮,開蘭東路1-1號,其他場所,聖方濟長照中心護理站,03-9771132#302
國立頭城家事商業職業學校,頭城鎮,新興路111號,高中職,頭城鎮新興路111號,03-9771131#195
順源牙醫診所,頭城鎮,青雲路二段352號,其他場所,診所3F,03-9782652
微笑灣休閒農場,頭城鎮,仙公路180巷50號,農場,農特產品調理設施,0922781278
蜻蜓石民宿,頭城鎮,仙公路201巷65號,旅館,大廳,0975830870
頭城休閒農場股份有限公司,頭城鎮,更新路125-6號,農場,旅客服務中心入口處,03-9772222
馥蘭朵酒店股份有限公司宜蘭北觀分公司,頭城鎮,更新路205號,飯店,櫃台前,03-9772168
蘭陽技術學院,頭城鎮,復興路79號,大專院校,醫務室,03-9771997#720
大塭休閒農場,礁溪鄉,玉龍路2段497號,農場,大塭休閒農場大廳,03-9870558
山泉大飯店,礁溪鄉,礁溪路6段36號,飯店,櫃檯前方,03-9887979
川湯春天溫泉飯店,礁溪鄉,德陽路43號,飯店,1F大廳1號電梯旁,03-9889889
中天溫泉渡假飯店,礁溪鄉,健康一街1號,飯店,9樓客房走廊,03-9100111
中天溫泉渡假飯店,礁溪鄉,健康一街1號,飯店,6樓客房走廊,03-9100111
中天溫泉渡假飯店,礁溪鄉,健康一街1號,飯店,一樓大廳,03-9100111
五峰旗風景特定區,礁溪鄉,大忠村五峰路81巷6號,直轄市、縣(市)政府主管之風景區,服務台,03-9880940
天隆大飯店有限公司,礁溪鄉,礁溪路五段121號,飯店,大廳,03-9882126
交通部高速公路局北區養護工程分局頭城工務段,礁溪鄉,白雲村渭水路1號,高速公路服務區,辦公大樓2樓,03-9887060#3201
交通部臺灣鐵路管理局宜蘭運務段礁溪站,礁溪鄉,溫泉路 1 號,台鐵車站,候車室,03-9886940
佛光大學海雲館,礁溪鄉,林美村林尾路160號,大專院校,2樓大廳外,03-9874858
佛光大學雲來集,礁溪鄉,林美村林尾路160號,大專院校,1樓走廊上,03-9874858
佛光大學雲起樓,礁溪鄉,林美村林尾路160號,大專院校,1樓103室健康中心旁的走廊上,03-9874858
佛光大學雲慧樓,礁溪鄉,林美村林尾路160號,大專院校,1樓大廳外,03-9874858
佛光大學懷恩館,礁溪鄉,林美村林尾路160號,大專院校,辦公室門外,03-9874858
沐恩國際溫泉渡假飯店有限公司,礁溪鄉,仁愛路29號,溫泉區,大廳,03-9875999
宜蘭縣立吳沙國中,礁溪鄉,育英路79號,國中,健康中心,03-9284701#36
宜蘭縣立礁溪國中,礁溪鄉,礁溪路四段23號,國中,學務處,03-9882412#113
宜蘭縣礁溪鄉玉田國民小學,礁溪鄉,玉民路一段169號,國小,B棟辦公室前,03-9882461
宜蘭縣礁溪鄉衛生所,礁溪鄉,礁溪路4段126號B1,其他場所,候診室外,03-9882908
宜蘭縣礁溪鄉龍潭國民小學,礁溪鄉,龍潭村育龍路71號,國小,健康中心,03-9284764
玫瑰園湯屋會館,礁溪鄉,忠孝路1巷17號,大型公眾浴場,服務台售票處,03-9883364
長榮鳳凰酒店(礁溪),礁溪鄉,健康路77號,飯店,一樓服務中心,03-9109988
長榮鳳凰酒店(礁溪),礁溪鄉,健康路77號,飯店,5F慢活SPA,03-9109988
長榮鳳凰酒店(礁溪),礁溪鄉,健康路77號,飯店,露天風呂,03-9109988
春水笈湯屋,礁溪鄉,忠孝路1巷17-1號,大型公眾浴場,櫃檯,03-9871968
春和泡湯,礁溪鄉,德陽路80巷3號,大型公眾浴場,服務台,"
03-9889715  "
春風日式泡湯,礁溪鄉,忠孝路1巷2-2號,溫泉區,櫃檯後方,03-9888298
美嘉美大飯店,礁溪鄉,德陽路150號,旅館,櫃檯旁,03-9882937
捷絲旅宜蘭礁溪館,礁溪鄉,德陽路24巷8號,旅館,B1大眾裸湯,03-9102000
淡江大學蘭陽校園,礁溪鄉,林美村林尾路180號,大專院校,淡江大學蘭陽校園,03-9873088#7099
晶泉丰旅 WELLSPRING by SILKS,礁溪鄉,溫泉路67號,飯店,晶泉丰旅-R樓中島電話旁,03-9100000
湯圍溝公園,礁溪鄉,德陽路99-1號,直轄市、縣(市)政府主管之風景區,售票處服務台,03-9894500
源來如池有限公司,礁溪鄉,德陽路66巷8號,大型公眾浴場,大廳,03-9880210
蔥澡礁溪小澡堂,礁溪鄉,礁溪路五段77號,大型公眾浴場,一樓大廳,03-9876929
礁溪老爺酒店,礁溪鄉,大忠村五峰路69號,旅館,1F洞天風呂櫃台旁,03-9885211#8061
礁溪老爺酒店,礁溪鄉,大忠村五峰路69號,旅館,得天公園高爾夫球場櫃台,03-9885211#8167
礁溪溫泉公園-森林風呂,礁溪鄉,公園路70巷60號,大型公眾浴場,森林風呂-售票亭,03-9894500
礁溪轉運站,礁溪鄉,礁溪路六段17號,轉運站,礁溪轉運站乘車大廳內,03-9871008
龍潭湖風景區,礁溪鄉,龍潭村環湖路1號,直轄市、縣(市)政府主管之風景區,服務台,03-9280141
台灣鐵路管理局蘇澳新站,蘇澳鎮,中山路二段238 號,台鐵車站,補票房旁,03-9961004
交通部臺灣鐵路管理局宜蘭運務段永樂站,蘇澳鎮,永樂里圳頭路60號,台鐵車站,候車室,03-9961889
交通部臺灣鐵路管理局宜蘭運務段南澳站,蘇澳鎮,南強里大通路22號,台鐵車站,候車室,03-9981971
交通部臺灣鐵路管理局宜蘭運務段蘇澳站,蘇澳鎮,蘇南里太平路1號,台鐵車站,剪收票口旁,03-9962028
